"category","candidate","source_url","why_considered","must_validate_before_purchase","priority"
"Safety MCU","ST NUCLEO-F446RE","https://www.st.com/en/evaluation-tools/nucleo-f446re.html","Preferred STM32 Nucleo safety baseline with more margin than F103 class","I/O mapping, CAN transceiver, watchdog, PlatformIO/Cube support, environmental mounting","P0"
"Safety MCU","ST NUCLEO-F103RB","https://www.st.com/en/evaluation-tools/nucleo-f103rb.html","Minimum STM32 Nucleo candidate for heartbeat, E-stop and motor consent","I/O count, CAN availability on selected pins, timing margin, future sensor growth","P0"
"Safety MCU","ST NUCLEO-H7 family","https://www.st.com/en/evaluation-tools/stm32-nucleo-boards/products.html","Upgrade path if local safety sensing/logging grows beyond F4/F1 margin","Exact board availability, firmware port, pinout, cost and enclosure","P1"
"Motor","StepperOnline M82B200-24P-30S/G82-71.5S1","https://www.omc-stepperonline.com/24v-200w-42rpm-geared-brushless-dc-motor-33-00nm-4673-18oz-in-71-5-1-planetary-gearbox-m82b200-24p-30s-g82-71-5s1","Matches current 24 V 200 W 71.5:1 assumption","Shaft/flange, continuous current, thermal behavior, Hall wiring, VESC compatibility","P0"
"Motor","StepperOnline M82B200-24P-30S/G82-30S1","https://www.omc-stepperonline.com/24v-200w-100rpm-geared-brushless-dc-motor-15-00nm-2124-17oz-in-30-1-planetary-gearbox-m82b200-24p-30s-g82-30s1","Higher speed lower torque comparison candidate","Torque margin on slope, current, thermal derating","P1"
"Motor","StepperOnline M82B200-24P-30S/G82-144.5S1","https://www.omc-stepperonline.com/24v-200w-21rpm-geared-brushless-dc-motor-67-00nm-9487-98oz-in-144-5-1-planetary-gearbox-m82b200-24p-30s-g82-144-5s1","Winch/high torque comparison candidate","Speed too low for traction, winch drum fit, brake integration","P1"
"VESC","TRAMPA VESC 75/300","https://trampaboards.com/the-most-powerful-vesc-yet-a-vesc-with-300a-75v-perfect-for-electric-vehicles-electric-boats-electric-hydrofoils-industrial-applications-p-25831.html","Industrial/high-current VESC-class benchmark","Overkill at 24 V, cost, cooling, CAN, firmware, enclosure","P1"
"Battery","Victron Lithium Battery Smart 25.6 V family","https://www.victronenergy.com/batteries/lithium-battery-12-8v","Commercial LiFePO4 25.6 V smart battery family","BMS requirement, discharge current, mass, IP, integration cost","P0"
"DC-DC","Victron Orion-Tr Smart isolated DC-DC","https://www.victronenergy.com/dc-dc-converters/orion-tr-smart","Rugged configurable DC-DC family with Bluetooth/remote on-off","Exact voltage/current model, thermal mounting, fuse sizing","P1"
"Connector power","Anderson SB series","https://www.andersonpower.com/product-lines/sb-connector-series/","Polarized high-current DC connector family","IP protection need, current/contact size, strain relief, quick-split use","P0"
"Connector signal/IP","Amphenol eco|mate Aquarius","https://www.amphenol-industrial.de/en/products/eco-mate/aquarius","IP67/IP69K circular connector family for harsh environments","Exact shell/contact layout, crimp tooling, mating cycles, current rating","P0"
"Brake","SRAM/Avid BB7/BB5 service family","https://www.sram.com/globalassets/document-hierarchy/service-manuals/sram-mtb/brakes/gen.0000000003513-rev-b-2012-bb7--bb5-service-manual-english","Mechanical disc brake service documentation exists","Availability, rotor size, caliper mount, parking lever, holding torque","P0"
"Range extender engine","Honda GX50","https://engines.honda.com/models/model-detail/gx50","Official GX50 baseline: 47.9 cm3, 1.47 kW @ 7000 rpm, diaphragm carburetor, recoil start","Exact PTO/clutch variant, mounting, heat, fuel safety, spare parts, emissions/noise constraints","P1"
"REX rectifier","SQL100A-class three-phase bridge","local selection pending","Current architecture expects passive BLDC alternator rectification before buck","Authentic current/voltage rating, heatsink thermal test, isolation, diode losses","P0"
"REX DC-DC","1500 W CC/CV buck 15-90 V input class","local selection pending","Matches GX50/BLDC rectified DC to 24 V LiFePO4 charging","Real continuous rating at 700 W, cooling, EMI, CV/CC stability, BMS integration","P0"
"REX anti-backfeed","Ideal diode or charge contactor 50 A / 80 V class","local selection pending","Prevents battery discharge through buck/rectifier when GX50 is off","Voltage drop, heat, fault behavior, reverse current leakage","P0"
"REX safety sensor","ACS758/INA226 current sensing","local selection pending","Current feedback for STM32 REX PID and ROS telemetry","Range, isolation, noise with GX50 running, calibration procedure","P1"
