"req_id","priority","design_artifact","interface_or_config","test_case","evidence","bom_item","risk"
"MULO-SYS-001","P0","docs/enterprise/electrical_baseline_24v.md","config/rover_params.yaml","VV-P0-ELEC-001","reports/evidence/VV-P0-ELEC-001/","Battery, VESC, DC-DC, charger","24V/48V mismatch"
"MULO-SYS-002","P0","hardware/firmware/stm32_safety_mcu/src/main.cpp","rover_interfaces/msg/McuStatus.msg","VV-P0-SAFE-001","reports/evidence/VV-P0-SAFE-001/","Safety MCU, motor consent relay","Unexpected movement at boot"
"MULO-SYS-003","P0","docs/audit/mulo_safety_mcu_protocol.md","hardware_bridge.command_timeout_ms","VV-P0-SAFE-002","reports/evidence/VV-P0-SAFE-002/","Safety MCU, Jetson link","Motion after host crash"
"MULO-SYS-004","P0","hardware/firmware/stm32_safety_mcu/stm32_nucleo_safety_pinout.md","E-stop NC, STM32 motor consent GPIO","VV-P0-SAFE-003","reports/evidence/VV-P0-SAFE-003/","E-stop, relay/opto, STM32 Nucleo","Software-only stop"
"MULO-SYS-005","P0","src/rover_system/rover_system/bridge_model.py","SafetyCommand, McuStatus crc16","VV-P0-SAFE-004","reports/evidence/VV-P0-SAFE-004/","Safety MCU firmware","Corrupt/forged command accepted"
"MULO-SYS-006","P0","config/profiles","simulate_without_serial, simulate_without_can","VV-P0-SW-001","reports/evidence/VV-P0-SW-001/","Jetson, MCU, VESC","Sim data used as real"
"MULO-SYS-007","P0","src/rover_control/rover_control/nodes/vesc_driver.py","vesc_driver.simulate_without_can","VV-P0-SW-002","reports/evidence/VV-P0-SW-002/","VESC/CAN adapter","Silent drivetrain simulation"
"MULO-SYS-008","P0","docs/enterprise/manufacturing_readiness_package.md","Brake assembly drawing","VV-P0-MECH-001","reports/evidence/VV-P0-MECH-001/","Brake calipers, rotors, levers","No parking brake"
"MULO-SYS-009","P0","docs/enterprise/electrical_baseline_24v.md","power_monitor dump thresholds","VV-P0-ELEC-002","reports/evidence/VV-P0-ELEC-002/","Dump load, fuse, enclosure","Bus overvoltage"
"MULO-SYS-010","P0","docs/enterprise/electrical_baseline_24v.md","Power distribution schematic","VV-P0-ELEC-003","reports/evidence/VV-P0-ELEC-003/","Fuses, busbar, switch","Unprotected branch fault"
"MULO-SYS-011","P0","docs/enterprise/wiring_validation_matrix.csv","Pinout and wire IDs","VV-P0-ELEC-004","reports/evidence/VV-P0-ELEC-004/","Cables, connectors, glands","Intermittent wiring fault"
"MULO-SYS-012","P0","docs/enterprise/manufacturing_readiness_package.md","CAD revision table","VV-P0-MECH-002","reports/evidence/VV-P0-MECH-002/","Frame, shafts, plates, boxes","Unbuildable drawings"
"MULO-SYS-013","P0","hardware/mechanical/extension_shaft_specs.md","Wheel/drivetrain assembly","VV-P0-MECH-003","reports/evidence/VV-P0-MECH-003/","UCF204, shaft, hub, brake","Interference/misalignment"
"MULO-SYS-014","P0","docs/enterprise/data_reporting_standard.md","Run manifest schema","VV-P0-DATA-001","reports/evidence/VV-P0-DATA-001/","NVMe/SD/logging","Unreproducible tests"
"MULO-SYS-015","P0","docs/enterprise/safety_case.md","Safety boundary","VV-P0-SAFE-005","reports/evidence/VV-P0-SAFE-005/","MCU, ToF, IMU","AI treated as safety layer"
"MULO-SYS-016","P0","docs/enterprise/range_extender_readiness.md","hardware/ice_generator_kill, RangeExtenderStatus","VV-P0-REX-002","reports/evidence/VV-P0-REX-002/","GX50, REX STM32, kill relay/opto","GX50 remains running after safety stop"
"MULO-SYS-017","P0","docs/enterprise/range_extender_readiness.md","range_extender/dc_link_voltage, BMS charge inhibit","VV-P0-REX-004","reports/evidence/VV-P0-REX-004/","Fuse, rectifier, buck, ideal diode, BMS","Backfeed or battery overcharge"
"MULO-SYS-018","P0","docs/enterprise/range_extender_readiness.md","Mechanical guard checklist","VV-P0-REX-003","reports/evidence/VV-P0-REX-003/","Belt guard, pulley guard, fasteners","Rotating part ejection"
"MULO-SYS-019","P0","docs/enterprise/range_extender_readiness.md","run_manifest fuel/CO/fire checklist","VV-P0-REX-005","reports/evidence/VV-P0-REX-005/","CO monitor, extinguisher, fuel shutoff","CO exposure or fire"
"MULO-SYS-105","P1","src/rover_interfaces/msg/RangeExtenderStatus.msg","range_extender/status","VV-P1-REX-006","reports/evidence/VV-P1-REX-006/","ACS758/INA226, RPM Hall, temp sensors","Unobservable REX fault"
"MULO-SYS-106","P1","docs/enterprise/range_extender_readiness.md","power_monitor range_extender_* params","VV-P0-REX-001","reports/evidence/VV-P0-REX-001/","GX50, BLDC, buck, thermal stack","Inconsistent generator sizing"
