time_s,target_w,rpm,dc_link_voltage_v,bus_voltage_v,charge_current_a,rectifier_temp_c,buck_temp_c,exhaust_zone_temp_c,throttle_request
0,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
1,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
2,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
3,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
4,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
5,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
6,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
7,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
8,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
9,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
10,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
11,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
12,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
13,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
14,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
15,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
16,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
17,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
18,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
19,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
20,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
21,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
22,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
23,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
24,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
25,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
26,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
27,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
28,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
29,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
30,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
31,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
32,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
33,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
34,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
35,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
36,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
37,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
38,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
39,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
40,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
41,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
42,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
43,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
44,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
45,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
46,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
47,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
48,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
49,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
50,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
51,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
52,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
53,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
54,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
55,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
56,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
57,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
58,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
59,0.0,3000.0,35.0,27.2,0.0,30.0,32.0,45.0,0.0
60,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
61,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
62,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
63,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
64,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
65,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
66,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
67,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
68,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
69,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
70,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
71,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
72,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
73,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
74,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
75,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
76,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
77,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
78,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
79,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
80,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
81,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
82,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
83,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
84,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
85,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
86,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
87,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
88,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
89,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
90,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
91,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
92,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
93,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
94,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
95,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
96,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
97,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
98,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
99,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
100,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
101,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
102,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
103,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
104,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
105,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
106,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
107,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
108,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
109,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
110,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
111,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
112,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
113,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
