"connector","pin","signal","direction","nominal","wire","protection","validation"
"J_SAFE","1","GND","reference","0 V","signal black","star/defined ground","continuity to logic ground"
"J_SAFE","2","SAFETY_KILL_N","input","3.3/5 V pull-up, active low","twisted signal","fail-safe pull-up, opto preferred","LOW forces kill ignition"
"J_SAFE","3","SAFETY_HEARTBEAT","input optional","3.3/5 V","twisted signal","timeout in firmware","stale heartbeat keeps REX off"
"J_SAFE","4","SHIELD_DRAIN","shield","chassis at one end","shield","single-point bond","no ground loop"
"J_USB_SERIAL","1","USB_5V","power","5 V","USB","host current limit","logic boot only"
"J_USB_SERIAL","2","USB_D-","data","USB","USB cable","ESD","serial command test"
"J_USB_SERIAL","3","USB_D+","data","USB","USB cable","ESD","serial command test"
"J_USB_SERIAL","4","GND","reference","0 V","USB","ESD","continuity"
"J_IGN","1","HONDA_IGN_PRIMARY","output switched","ignition primary","high-temp signal","opto/relay isolated","kill verified with engine off"
"J_IGN","2","HONDA_IGN_GND","return","engine ground","high-temp signal","isolated return","kill verified with engine off"
"J_SERVO","1","SERVO_6V","power","6 V","servo power","fuse/polyfuse, separate buck","servo stall current test"
"J_SERVO","2","GND_SERVO","return","0 V","servo return","star return","no brownout under servo step"
"J_SERVO","3","THROTTLE_PWM","output","PWM","signal","series resistor optional","power loss returns idle"
"J_RPM","1","SENSOR_5V","power","5 V","signal red","fuse/polyfuse","Hall sensor supply"
"J_RPM","2","GND_SENSOR","return","0 V","signal black","filtered ground","noise check with GX50 running"
"J_RPM","3","RPM_HALL","input","pulse","shielded signal","RC/Schmitt if needed","RPM sweep to 7500"
"J_VDC","1","DC_LINK_PLUS_SENSE","input","0-70 V scaled","HV-rated sense","divider, TVS, series resistor","calibrate with bench supply"
"J_VDC","2","DC_LINK_MINUS_SENSE","reference","0 V","HV-rated sense","defined return","calibrate with bench supply"
"J_VDC","3","SHIELD_DRAIN","shield","chassis","shield","single-point bond","noise check"
"J_ICHG","1","SENSOR_5V","power","5 V","signal red","fuse/polyfuse","current sensor supply"
"J_ICHG","2","GND_SENSOR","return","0 V","signal black","filtered ground","offset calibration"
"J_ICHG","3","ICHARGE_ANALOG","input","0.5-4.5 V typical","shielded signal","RC filter","known-current calibration"
"J_ICHG","4","ICHARGE_FAULT","input optional","open drain","signal","pull-up","sensor fault injection"
"J_TEMP","1","RECTIFIER_TEMP","input","NTC/front-end","signal","RC filter","heat gun/ice calibration"
"J_TEMP","2","BUCK_TEMP","input","NTC/front-end","signal","RC filter","heat gun/ice calibration"
"J_TEMP","3","EXHAUST_ZONE_TEMP","input","NTC/front-end","high-temp signal","RC filter","distance/heat shield validation"
"J_TEMP","4","GND_SENSOR","return","0 V","signal black","filtered ground","continuity"
"J_DUMP","1","DUMP_LOAD_REQ","output","3.3/5 V logic","signal","opto driver","dump controller command test"
"J_DUMP","2","GND","reference","0 V","signal black","defined return","continuity"
