"ref","category","candidate_or_spec","min_rating","validation_before_purchase"
"U1","MCU board","ST NUCLEO-F446RE preferred / NUCLEO-F103RB minimum","3.3 V logic, enough ADC/interrupt/PWM","Pin availability, enclosure, ADC noise with GX50"
"U2","Logic buck","24 V to 5 V isolated or low-noise buck","24 V input, >=1 A output","Ripple, brownout, thermal"
"U3","Servo buck","24 V to 6 V buck","servo stall current TBD","Servo step response, no MCU reset"
"U4","Ignition isolation","Automotive opto relay or SSR/relay module","ignition primary compatible","Fail-safe behavior, heat, vibration"
"U5","Vdc divider/front-end","Precision resistor divider + TVS + RC","100 V component margin","Calibration, leakage, transient response"
"U6","Charge current sensor","ACS758/INA226-class isolated/current monitor",">=50 A, bandwidth adequate","Offset/noise with BLDC and GX50"
"U7","RPM sensor","A3144/SS49E Hall + magnet","1 pulse/rev, >8000 rpm","Mounting, EMI, debouncing"
"U8","Temp front-end","NTC/thermocouple interface","rectifier/buck/exhaust ranges","Calibration and placement"
"F1","Logic fuse","Blade/polyfuse","TBD from load calc","Trip curve"
"F2","Servo fuse","Blade/polyfuse","TBD from servo stall","Trip curve"
"J*","Connectors","IP/locking circular or automotive sealed","current and temp per net","Crimp tooling, strain relief"
"SH1","Shield/guard","Cable shields and mechanical covers","EMI/physical safety","EMI test, no rotating access"
