"categoria","componente_candidato","fornitore_link","quantita","costo_unitario_eur","costo_totale_eur","peso_unitario_kg","tensione_v","corrente_continua_a","corrente_picco_a","grado_ip","interfaccia","compatibilita_meccanica","compatibilita_software","beneficio","rischio","priorita","fase","stato","test_accettazione","note"
"Batteria","CANDIDATO_DA_VALUTARE","","1","","=D2*E2","","24","","","","BMS/telemetria","Vano batteria da confermare","Power monitor/letture tensione corrente","Autonomia e sicurezza chimica","Cut-off BMS o corrente insufficiente","P0","Fase 2","Da valutare","Scarica controllata e log tensione corrente temperatura","LiFePO4 preferita"
"Controller motori","CANDIDATO_DA_VALUTARE","","4","","=D3*E3","","24","","","","CAN","Dissipatore e fissaggio da confermare","rover_control VESC/CAN","Controllo 4WD e telemetria","Fault termico o perdita controllo","P0","Fase 2","Da valutare","Ruote sollevate, comando RPM, stop, fault","Verificare corrente continua reale"
"Motori","CANDIDATO_DA_VALUTARE","","4","","=D4*E4","","24","","","","Hall/encoder","Albero e flangia compatibili con ponte corazzato","Telemetria via controller","Coppia e velocita trekking","Sottocoppia o surriscaldamento","P0","Fase 2","Da valutare","Banco + salita lenta con carico","Target circa 4 km/h con ruote 20"
"Freni","CANDIDATO_DA_VALUTARE","","4","","=D5*E5","","","","","","Bowden/meccanico","Mozzo/disco 6 fori, staffa pinza","Non dipende dal software","Stazionamento sicuro","Rover non bloccabile a batteria spenta","P0","Fase 1","Da valutare","Stazionamento su pendenza con massa target","Dischi 203 mm consigliati"
"Dump load","CANDIDATO_DA_VALUTARE","","1","","=D6*E6","","24","","","","Comando VESC/MCU","Carter termico e ventilazione","Power monitor soglie","Frenata regen sicura","Sovratensione bus in discesa","P0","Fase 2","Da valutare","Attivazione con batteria alta e monitor bus","Tenere lontano da plastica/cavi"
"Safety MCU","CANDIDATO_DA_VALUTARE","","1","","=D7*E7","","5/3.3","","","","UART/CAN/GPIO","Box logica e cablaggio sensori","hardware_bridge/protocollo safety","Stop indipendente da Jetson","ROS diventa safety-critical","P0","Fase 3","Da valutare","Perdita heartbeat -> stop entro circa 500 ms","STM32/H7 preferibile"
"E-stop fisico","CANDIDATO_DA_VALUTARE","","1","","=D8*E8","","24","","","","Contatto NC/consenso","Accessibile e protetto","Lettura MCU + taglio hardware","Arresto emergenza reale","Comando attivo fuori controllo","P0","Fase 2","Da valutare","Premuta E-stop disabilita trazione e latch fault","Non dipendere solo da topic ROS"
"Connettori potenza","CANDIDATO_DA_VALUTARE","","1 set","","=D9*E9","","24","","","","Bloccabile/IP","Compatibile cavi e box","N/A","Affidabilita in vibrazione e fango","Guasti intermittenti o corti","P0","Fase 2","Da valutare","Trazione, continuita, ispezione dopo vibrazione","Dimensionare per corrente continua"
"Cablaggio CAN","CANDIDATO_DA_VALUTARE","","1 set","","=D10*E10","","","","","","CAN twistato","Percorso protetto e terminazioni","rover_control/hardware_bridge","Comunicazione robusta controller","Perdita telemetria o comandi","P0","Fase 2","Da valutare","Test bus con tutti i nodi e disturbi motori","Terminazioni corrette"
"Sonde termiche","CANDIDATO_DA_VALUTARE","","6","","=D11*E11","","3.3/5","","","","Analog/I2C/1-Wire","Montaggio su motori/VESC/batteria","Derating e log","Prevenzione fault termici","Surriscaldamento non rilevato","P0","Fase 2","Da valutare","Riscaldamento controllato e lettura soglie","NTC/PT100 secondo controller"
