"net","from","to","rating","notes"
"SAFETY_KILL_N","J_SAFE.2","STM32_REX.D2","logic","Active low. Must be hardware path from safety MCU/E-stop chain."
"KILL_IGNITION","STM32_REX.D7","IGNITION_OPTO.IN","logic","HIGH requests GX50 kill."
"HONDA_IGN_PRIMARY","IGNITION_OPTO.OUT","J_IGN.1","ignition","Isolate from MCU; validate exact Honda ignition wiring."
"HONDA_IGN_GND","J_IGN.2","ENGINE_GND","ignition","Return path for kill relay/opto."
"THROTTLE_PWM","STM32_REX.D9","J_SERVO.3","logic PWM","Servo driver input, not direct high-current servo power."
"SERVO_6V","SERVO_BUCK.OUT","J_SERVO.1","6 V / TBD A","Separate from MCU 5 V."
"RPM_HALL","J_RPM.3","STM32_REX.D3","logic pulse","Shielded/twisted, add conditioning if EMI fails."
"DC_LINK_PLUS_SENSE","REX_DC_LINK_PLUS","VDC_DIVIDER.TOP","0-70 V","High impedance sense, not power."
"VDC_ADC","VDC_DIVIDER.MID","STM32_REX.A0","0-3.3 V","Scale and TVS before MCU."
"ICHARGE_ANALOG","J_ICHG.3","STM32_REX.A1","0-3.3 V","ACS758/INA226 front-end output."
"RECTIFIER_TEMP","J_TEMP.1","STM32_REX.A2","0-3.3 V","Temperature front-end required."
"BUCK_TEMP","J_TEMP.2","STM32_REX.A3","0-3.3 V","Temperature front-end required."
"EXHAUST_ZONE_TEMP","J_TEMP.3","STM32_REX.A4","0-3.3 V","Temperature front-end required."
"DUMP_LOAD_REQ","STM32_REX.D8","J_DUMP.1","logic","Request only; dump power handled separately."
"USB_SERIAL","HOST_USB","STM32_REX.USB","USB","Bringup/debug command channel."
"SENSOR_5V","LOGIC_BUCK.OUT","J_RPM.1,J_ICHG.1","5 V / TBD A","Filtered sensor rail."
"GND_SENSOR","LOGIC_GND","J_RPM.2,J_ICHG.2,J_TEMP.4","0 V","Single strategy for noisy generator environment."
"SHIELD_DRAIN","CABLE_SHIELDS","CHASSIS_SINGLE_POINT","shield","Bond one end only unless EMC test says otherwise."
