"area","item","stato_attuale","priorita","costo_stimato_eur","beneficio","rischio_se_manca","dipendenze","prossima_azione","fase"
"Sistema","BOM completa con fornitori e masse","documentato parziale","P0","0-20","Congela il capitale del progetto e rende controllabile il budget","Acquisti duplicati o componenti incompatibili","Documenti BOM e specifiche MK0","Aggiornare distinta con quantita, costo reale, fornitore, link, massa e stato acquisto","Fase 0"
"Sistema","Allineamento parametri fisici rover_params.yaml","presente da verificare","P0","0","Evita mismatch tra software e hardware reale","Limiti velocita, corrente e massa non coerenti con il mezzo","Peso reale, ruote, batteria, geometria","Rivedere massa, batteria, track width, wheelbase e limiti dopo scelta componenti","Fase 0"
"Meccanica","Telaio S235 30x30x2 mm","documentato","P0","150-500","Base robusta, saldabile e riparabile sul campo","Fatica, flessioni o rotture se realizzato senza quote e controventature","Disegni quotati, saldatura, verifica peso","Congelare disegno quotato e piano saldature prima della carpenteria","Fase 1"
"Meccanica","Snodo centrale UCP204 e albero 20 mm","documentato","P0","60-180","Mantiene trazione su terreno irregolare e consente quick-split","Blocco, giochi o rottura in torsione","Telaio, piastre 6 mm, perni sicurezza","Definire tolleranze, pull-pin e procedura di separazione semitelai","Fase 1"
"Meccanica","Ponte corazzato con UCF204 esterno","documentato","P0","120-300","Protegge i riduttori dai carichi radiali delle ruote","Distruzione cuscinetti/riduttori dopo poche ore di off-road","Piastre, alberi custom, mozzi ruote","Validare layout sandwich e quote piastra/cuscinetto/mozzo","Fase 1"
"Meccanica","Alberi custom 42CrMo4","documentato","P0","250-800","Trasmettono coppia e isolano il motore dai carichi flettenti","Giochi, eccentricita o rottura trasmissione","Disegno tecnico, tornitura, tolleranza h6","Produrre disegno officina con cava chiavetta, flangia 6 fori e tolleranze","Fase 1"
"Meccanica","Quick-split logistico","documentato","P1","80-250","Permette trasporto e manutenzione senza sollevare 80+ kg","Trasporto difficile e rischio infortunio","Snodo, connettori rapidi potenza/CAN","Progettare sgancio meccanico e interruzione cablaggi con connettori bloccabili","Fase 1"
"Freni","Freni meccanici 4x disco 203 mm","documentato","P0","180-450","Stazionamento e sicurezza a batteria spenta","Rover non bloccabile in discesa o durante guasto elettrico","Ruote 6 fori, staffe pinze, leve Bowden","Acquistare pinze, dischi, leve a cricchetto e definire staffe","Fase 1"
"Freni","Procedura test stazionamento","mancante","P0","0-30","Dimostra che il rover resta fermo in pendenza","Falsa sicurezza prima dei test outdoor","Freni montati, peso reale, pendenza test","Scrivere checklist e criteri pass/fail per pendenza e carico","Fase 1"
"Powertrain","4 motori brushless/ridotti 24 V 200 W","documentato","P0","480-800","Velocita compatibile con passo umano e coppia 4WD","Prestazioni non sufficienti o surriscaldamento se sottodimensionati","Controller, alberi, ruote","Confermare modello, corrente continua, sensori Hall e compatibilita VESC","Fase 2"
"Powertrain","Controller VESC/CAN dissipati","prototipo software","P0","240-700","Controllo motori, telemetria e fault su bus robusto","Fault termici, perdita CAN, controllo instabile","Motori, CAN, dissipatori, alimentazione","Scegliere controller con margine continuo e montaggio su piastra dissipante","Fase 2"
"Powertrain","Cablaggio CAN twistato e terminato","documentato","P0","30-120","Riduce errori comunicazione e fault intermittenti","Perdita comandi o telemetria sotto vibrazione","Controller, MCU, connettori","Definire topologia, terminazioni, schermatura e test bus","Fase 2"
"Powertrain","Modalita 3WD degradata","documentato","P2","0-80","Consente limp-home dopo guasto motore/riduttore","Rover non recuperabile o guida asimmetrica pericolosa","Telemetria VESC, IMU, firmware controllo","Implementare solo dopo trazione base stabile e fault detection reale","Fase 7"
"Energia","Batteria LiFePO4 24 V 50-100 Ah","documentato","P0","450-650","Autonomia, sicurezza chimica e corrente continua adeguata","Caduta tensione, BMS cut-off, autonomia insufficiente","BMS, vano batteria, fusibili","Scegliere modello smart con scheda tecnica e corrente continua verificata","Fase 2"
"Energia","Fusibili, sezionatore e barre DC","documentato","P0","80-220","Isola corti e consente manutenzione sicura","Incendio, danno VESC o impossibilita di disconnettere potenza","Batteria, cablaggio, box IP","Dimensionare fusibili per rami motori, carica e servizi","Fase 2"
"Energia","Dump load per rigenerazione","documentato/prototipo software","P0","80-220","Mantiene frenata rigenerativa con batteria carica","Sovratensione bus o perdita frenata in discesa","VESC, batteria, power monitor","Dimensionare resistenza, carter termico, fusibile e soglie attivazione","Fase 2"
"Energia","Caricatore AC Mean Well NPB o equivalente","documentato","P1","150-300","Ricarica sicura da rifugio/rete 230 V","Ricarica lenta o non protetta","Batteria scelta, presa AC IP","Confermare tensione LiFePO4 finale e protezione ingresso AC","Fase 2"
"Energia","MPPT/DC per colonnine e solare portatile","documentato","P2","120-350","Flessibilita off-grid e ricarica e-bike/solar","Opzione ricarica limitata in trekking lungo","Batteria, connettori DC, MPPT","Rinviare finche la base elettrica non e stabile","Fase 7"
"Sicurezza","E-stop fisico e consenso motori indipendente","documentato non validato","P0","60-200","Ferma la trazione anche con ROS bloccato","Rischio critico di comando attivo fuori controllo","MCU, VESC, cablaggio potenza","Progettare circuito, pulsante, test perdita heartbeat e test taglio coppia","Fase 2"
"Sicurezza","Safety MCU STM32/H7","documentato","P0","70-180","Supervisione real-time indipendente dalla Jetson","Linux/ROS diventa safety-critical impropriamente","E-stop, ToF, IMU, encoder, corrente","Scegliere scheda e definire pinout, heartbeat e protocollo comandi","Fase 3"
"Sicurezza","ToF anti-vuoto e frontali","documentato","P1","40-160","Rileva gradini, bordi e zone cieche davanti alle ruote","Caduta da bordo sentiero o collisione ravvicinata","MCU, staffe sensori, alimentazione pulita","Montare 2-4 moduli con mux o bus separati e soglie conservative","Fase 3"
"Sicurezza","IMU BNO085/BNO086","documentato","P1","20-50","Assetto, pendenza, yaw-rate e rilevamento ribaltamento","Stop tardivo su pendenze o guida degradata instabile","MCU, posizione vicino al CoM","Montare vicino al baricentro e filtrare vibrazioni","Fase 3"
"Sicurezza","Sonde termiche motori/VESC/batteria","documentato","P0","30-120","Derating progressivo prima del fault critico","Taglio improvviso o danno termico","Powertrain, firmware, log","Installare NTC/PT100 e definire soglie warn/fault","Fase 2"
"Firmware","Protocollo Jetson verso STM32","definito da implementare","P0","0","Contratto semplice e sicuro tra cognizione e controllo","Comandi ambigui o timeout non gestiti","Safety MCU, ROS hardware bridge","Implementare docs/audit/mulo_safety_mcu_protocol.md in firmware e hardware_bridge","Fase 3"
"Firmware","Heartbeat safety 500 ms","documentato","P0","0","Stop automatico su crash Jetson/ROS/link","Rover continua senza supervisione","Safety MCU, hardware bridge","Implementare test perdita heartbeat e stop controllato","Fase 3"
"Firmware","Log compatto lato MCU/SD","documentato","P1","20-100","Diagnostica anche se Jetson fallisce","Guasti non riproducibili","SD, RTC/timestamp, schema log","Definire formato CSV/JSONL con fault, sensori, comandi e tempi","Fase 3"
"Software ROS","Workspace ROS 2 modulare","simulato/testato","P1","0","Base software gia organizzata per evolvere","Debito tecnico se non mantenuto con test","Pacchetti esistenti","Continuare a tenere separati control, safety, navigation, power e system","Fase 4"
"Software ROS","VESC driver","prototipo software","P0","0-80","Controllo 4WD, telemetria e fault","Comandi motore non validati su hardware","VESC reali, CAN, batteria","Testare su banco con ruote sollevate prima del terreno","Fase 2"
"Software ROS","Safety watchdog ROS","simulato/testato","P1","0","Supervisione nodi e fault lato ROS","Falsa sicurezza se sostituisce MCU fisica","Hardware bridge, MCU","Mantenerlo come supervisore software, non come unico layer safety","Fase 3"
"Software ROS","Power EKF/ECMS","simulato/testato","P2","0","Stima SoC/SoH e split energia ibrida","Stima energia errata se non calibrata","Batteria reale, sensori corrente/tensione","Calibrare con scarica/carica reale prima di usarlo per decisioni missione","Fase 5"
"Percezione","UWB follow-me","documentato","P1","80-250","Follow-me robusto senza dipendere dalla camera","Perdita target o inseguimento errato","Anchor/tag, staffe, MCU/ROS","Calibrare distanza anchor, filtri outlier e stop su incoerenza","Fase 4"
